상호명,도로명주소,전화번호,위도,경도,동구분
파리바게트유천점,"인천광역시 연수구 비류대로 429, 1층 (연수동)",,37.42440707,126.6825029,연수동
파리바게뜨,"인천광역시 연수구 원인재로 81 (동춘동,럭키삼성(아)상가 105호,117호(지상1층))",,37.40745825,126.6747564,동춘동
뚜레쥬르 신연수점,"인천광역시 연수구 원인재로 286 (연수동, 대림1차상가 108호,109호 지상1층)",,37.4190454,126.6926717,연수동
파리바게뜨(옥련점),"인천광역시 연수구 독배로40번길 25 (옥련동,(지상1층))",,37.42448507,126.6462318,옥련동
단팥빵 제과점,"인천광역시 연수구 청능대로 175 (연수동,우성1차 상가 107호 2동 지상1층(청능로69))",,37.40882153,126.6831238,연수동
파리바게트 선학역점,"인천광역시 연수구 선학로 101, 지상1층 101호 (선학동, 뉴서울1차아파트 상가동)",,37.42505293,126.7006293,선학동
파리바게뜨,"인천광역시 연수구 비류대로 230 (옥련동,(지상1층))",,37.42695857,126.6602252,옥련동
케익하우스파티쉐,"인천광역시 연수구 비류대로186번길 20 (옥련동,풍림아파트상가 107호(지상1층))",,37.42707163,126.6547153,옥련동
파리바게트 연수로얄점,"인천광역시 연수구 앵고개로264번길 30-4 (동춘동,2동 (지상1층))",,37.40682032,126.6718238,동춘동
파리바게뜨 (연수마그넷점),"인천광역시 연수구 청능대로 93, 지상1층 107,108호 (청학동, 이리옴프라자)",,37.41431941,126.6756664,청학동
(주)신세계푸드 이베이커리 연수점,"인천광역시 연수구 경원대로 184 (동춘동, 이마트연수점 지상1층)",,37.40421886,126.6811196,동춘동
파리바게트 연수대동점,"인천광역시 연수구 용담로149번길 17, 1층 (연수동)",,37.41369838,126.6811142,연수동
코코호도(송도국제도시점),"인천광역시 연수구 신송로125번길 7, 105호 (송도동, 이리옴프라자)",,37.39494818,126.6515588,송도동
이삭토스트,"인천광역시 연수구 새말로 107 (연수동,지상1층 ( 문화로 21 ))",,37.4186643,126.6811658,연수동
파리바게뜨 송도학원가점,"인천광역시 연수구 신송로 166, 플러스원프라자 지상1층 103호 (송도동)",,37.39843847,126.6484564,송도동
떡보의하루 연수점,"인천광역시 연수구 먼우금로 197 (청학동,지상1층)",,37.41500074,126.6761702,청학동
뚜레주르,"인천광역시 연수구 청능대로113번길 43 (연수동,지상1층 102호)",,37.41423145,126.6781795,연수동
파리바게뜨 송도글로벌점,"인천광역시 연수구 송도문화로28번길 28, 203동 지상1층 115호 (송도동, 글로벌캠퍼스푸르지오)",,37.3770832,126.6558312,송도동
파리바게뜨 로데오점,"인천광역시 연수구 신송로125번길 7 (송도동,이리옴프라자 111호,112호(지상1층))",,37.39494818,126.6515588,송도동
안스베이커리(송도점),"인천광역시 연수구 센트럴로 160 (송도동, 센트럴파크 푸르지오 판매시설동170,171,172,249호)",,37.39200033,126.644994,송도동
던킨도넛송도신도시점,"인천광역시 연수구 신송로 122 (송도동,송도프라자 122호)",,37.39581436,126.6524353,송도동
인디오븐 동춘점,"인천광역시 연수구 앵고개로264번길 40 (동춘동,남지B/D 지상1층)",,37.40667392,126.6712548,동춘동
파리바게뜨 연수영남,인천광역시 연수구 새말로 111 (연수동),,37.41859718,126.6843636,연수동
제이콥스베이커리,"인천광역시 연수구 신송로118번길 9, 106호 (송도동, 위드프리상뜨)",,37.39620198,126.6529427,송도동
빵굽는마을,"인천광역시 연수구 원인재로 222, 1층 일부호 (연수동)",,37.41562239,126.6870656,연수동
레표시카(LEPYOSHKA),"인천광역시 연수구 함박로 73-1, 1층 (연수동)",,37.42552529,126.6855836,연수동
파리바게뜨,"인천광역시 연수구 해돋이로 107 (송도동,4D동(H동) 4호 지상1층)",,37.38960595,126.648814,송도동
토스트굽는사람들,"인천광역시 연수구 해돋이로120번길 23, 지상1층 104호 (송도동, 아크리아2)",,37.39422704,126.650797,송도동
뉴욕베이글 앤 크림치즈(New York Bagel N' Cream Cheese),"인천광역시 연수구 컨벤시아대로 116, 지상1층 117호 (송도동, 송도푸르지오월드마크7단지)",,37.39374814,126.6463773,송도동
유니크롱,"인천광역시 연수구 컨벤시아대로 90, 502동 106호 (송도동, 인천송도힐스테이트)",,37.39495208,126.647839,송도동
파리바게뜨(아주쌍용점),"인천광역시 연수구 청량로 210, 상가동 (옥련동, 쌍용아파트상가, 101호,102호,103호)",,37.42454258,126.6525952,옥련동
베이커리(BAKERY),"인천광역시 연수구 센트럴로 232 (송도동,더샾센트럴파크1 A동 116호-117호일부 지상1층)",,37.39636124,126.6375683,송도동
까레몽제빵소 LF점,"인천광역시 연수구 청능대로23번길 11, 연수1차하나아파트 상가동 지하1층 일부호 (청학동)",,37.4186613,126.6689812,청학동
파리바게뜨 선학로데오점,"인천광역시 연수구 학나래로6번길 63 (선학동,지상1층)",,37.42592154,126.697925,선학동
파리바게뜨 송도웰카운티,"인천광역시 연수구 해송로 143 (송도동,송도웰카운티상가 138동1호,137동1-5호)",,37.37700133,126.6491863,송도동
몽블랑제 인천송도점,"인천광역시 연수구 송도국제대로 165 (송도동, 지하1층 홈플러스 매장내)",,37.38022559,126.656372,송도동
오로롱스튜디오,"인천광역시 연수구 하모니로 144, B동 2층 204호 일부호 (송도동, 송도 지웰 푸르지오시티)",,37.38445028,126.6435842,송도동
비건무드(Vegan Mood),"인천광역시 연수구 하모니로 144, 2층 A218호 (송도동, 송도 지웰 푸르지오시티)",,37.38445028,126.6435842,송도동
뚜레쥬르 연수동남점,"인천광역시 연수구 새말로36번길 2, 지상1층 (연수동)",,37.42214055,126.6749031,연수동
쉐라톤제과점,"인천광역시 연수구 컨벤시아대로 153 (송도동,지하1층)",,37.39022599,126.6454272,송도동
프랑세즈 단팥빵,"인천광역시 연수구 컨벤시아대로 60, 지상1층 119호 (송도동, 송도푸르지오월드마크2단지)",,37.39758636,126.6506664,송도동
곤트란쉐리에,"인천광역시 연수구 해돋이로 161, 107,108,109,110호 (송도동, 세종프라자)",,37.39450703,126.6453716,송도동
이츠굿 베이커리 송도점(It's good),"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 판매시설동 113호 (송도동)",,37.41050721,126.627633,송도동
제이스레시피,"인천광역시 연수구 해돋이로 107 (송도동, 4D동(H동) 상가6호)",,37.38960595,126.648814,송도동
버터풀앤크리멀러스(Butterful&Creamorous) 송도점,"인천광역시 연수구 송도국제대로 123, 현대프리미엄 아울렛 송도점 3층 일부호 (송도동)",,37.38320628,126.6586339,송도동
대만샌드위치 메이젠(MEIZEN),"인천광역시 연수구 신송로 153, 더 마란츠타워 120호 (송도동)",,37.39716984,126.64915,송도동
뚜레쥬르 신연수점,"인천광역시 연수구 원인재로 286, 대림아파트 상가동 1층 104호 (연수동)",,37.4190454,126.6926717,연수동
뚜레쥬르 나사렛국제병원점,"인천광역시 연수구 앵고개로 248, 로얄빌딩 지상1층 (동춘동)",,37.40836028,126.6712441,동춘동
식빵가게 엘린,"인천광역시 연수구 송도문화로28번길 28, 202동 117호 (송도동, 송도글로벌캠퍼스푸르지오)",,37.3770832,126.6558312,송도동
미추홀제빵소2,"인천광역시 연수구 학나래로118번길 10 (선학동,외2필지 지상1층)",,37.42785904,126.6981299,선학동
뚜레쥬르 옥련시장점,"인천광역시 연수구 독배로 41, 지상1층 (옥련동)",,37.42442552,126.6443535,옥련동
하나노마카롱 송도랜드마크점,"인천광역시 연수구 랜드마크로 68, 301동 지상1층 26호 (송도동, 랜드마크시티센트럴더샵)",,37.41563898,126.6212329,송도동
베이커리샵(Bakery shop),"인천광역시 연수구 함박로83번길 4, 1층 (연수동)",,37.4248688,126.6863253,연수동
앤티앤스,"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",,37.38320628,126.6586339,송도동
학생회관 베이커리,"인천광역시 연수구 아카데미로 119 (송도동, 외 1필지 학생복지회관 지상1층)",,37.37654053,126.6329014,송도동
인디오븐,"인천광역시 연수구 독배로40번길 21, 101호 (옥련동)",,37.4244745,126.6460172,옥련동
파리바게트 선학점,"인천광역시 연수구 선학로 101, 지상1층 (선학동, 뉴서울1차아파트상가동 128호,135호일부)",,37.42505293,126.7006293,선학동
너구리베이크샵,"인천광역시 연수구 앵고개로246번길 10, 대산프라자 111호 (동춘동)",,37.40841618,126.6706046,동춘동
몽블랑제 연수점,"인천광역시 연수구 청능대로 210, 홈플러스 인천연수점 지하 1층 (동춘동)",,37.40599741,126.6836222,동춘동
경성찹쌀꽈배기(연수2호점),"인천광역시 연수구 먼우금로252번길 1, 102호 (연수동)",,37.41924513,126.679656,연수동
뚜레쥬르 연수무지개점,"인천광역시 연수구 원인재로 14 (동춘동,무지개마을상가 (아)104호,105호,106호(지상1층))",,37.40128601,126.6700279,동춘동
송도망개떡,"인천광역시 연수구 컨벤시아대로42번길 8 (송도동, 코오롱더프라우1단지 102동 103호)",,37.39862127,126.6519433,송도동
아이에프비(IFB),"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",,37.38320628,126.6586339,송도동
자미당 센트럴파크점,"인천광역시 연수구 센트럴로 232, 더샵센트럴파크1 E동 143호 (송도동, 더샵센트럴파크1)",,37.39636124,126.6375683,송도동
무무이(mumui),"인천광역시 연수구 송도과학로28번길 50, 더샵 송도트리플타워 West 148호 (송도동)",,37.37934987,126.657692,송도동
베이커리(BAKERY),"인천광역시 연수구 청능대로 210 (동춘동, 홈플러스 인천연수점 지하1층)",,37.40599741,126.6836222,동춘동
노리케이크,"인천광역시 연수구 먼우금로 218, 305호 (연수동, 연수푸르지오3단지)",,37.41647766,126.6776655,연수동
퐁싯케이크,"인천광역시 연수구 청량로194번길 16-1, 1층 일부호 (옥련동)",,37.4242749,126.6533532,옥련동
피오니,"인천광역시 연수구 인천타워대로 241, 부영송도타워 지하1층 일부호 (송도동)",,37.39235896,126.6343256,송도동
하나노 마카롱,인천광역시 연수구 송도과학로16번길 13-25 (주)카네비컴 1층 (송도동),,37.38116114,126.6621956,송도동
안스베이커리,"인천광역시 연수구 청명로3번길 1 (청학동, 지상1,2,3,4층)",,37.41633311,126.6738695,청학동
샹끄발레르,"인천광역시 연수구 컨벤시아대로130번길 14, 지상1층 101,102호 (송도동, 송도플러스메디타워)",,37.392955,126.6448883,송도동
나무 와이비에프(YBF),"인천광역시 연수구 송도과학로 85, 연세대학교 국제캠퍼스 1학사 지하1층 (송도동)",,37.37978383,126.6739781,송도동
송사부 수제쌀 고로케,"인천광역시 연수구 청능대로 210, 스퀘어원 3층 (동춘동)",,37.40599741,126.6836222,동춘동
BREAD9(브레드9),"인천광역시 연수구 넘말로55번길 13, 1층 일부호 (선학동)",,37.42987005,126.6962849,선학동
삼송빵집,"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",,37.38320628,126.6586339,송도동
송도센트럴파크점 파리바게뜨,"인천광역시 연수구 센트럴로 194, C동 1층 122,123호 (송도동, 더샵센트럴파크)",,37.39378585,126.6418738,송도동
eatscake(잇츠케이크),"인천광역시 연수구 송도과학로28번길 50, 더샵 송도트리플타워 West 138호 (송도동)",,37.37934987,126.657692,송도동
파리바게트 연수동춘점,"인천광역시 연수구 능허대로289번길 11, 102호 (동춘동)",,37.41186737,126.655945,동춘동
까레몽베이커리,"인천광역시 연수구 경원대로 지하 480 (선학동, 선학역 지하1층)",,37.42712554,126.6989576,선학동
뚜레쥬르 송도아트윈점,"인천광역시 연수구 인천타워대로 253-25, 1층 104호 (송도동, 아트윈 푸르지오)",,37.39285224,126.6316532,송도동
하나노마카롱 송도더프라우점,"인천광역시 연수구 컨벤시아대로42번길 20, 303동 129호 (송도동, 송도 더 프라우 3단지)",,37.40002685,126.6502367,송도동
자연드림 송도점,"인천광역시 연수구 하모니로36번길 17, B동 1층 103,106호 (송도동, 은하프라자)",,37.39237735,126.6499039,송도동
베즐리 송도아울렛,"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",,37.38320628,126.6586339,송도동
알라메종(A LA MAISON),"인천광역시 연수구 청능대로 210, 스퀘어원 1층 영풍문고 앞 (동춘동)",,37.40599741,126.6836222,동춘동
선(善)빵,"인천광역시 연수구 인천타워대로 323, 송도 센트로드 선큰상가 A동 113호 (송도동)",,37.39952409,126.6295726,송도동
지구본,"인천광역시 연수구 송도과학로 56, 송도테크노파크 BT센터 지상1층 105호 (송도동)",,37.3811087,126.6640824,송도동
아마빌레디저트,"인천광역시 연수구 한나루로 104 (옥련동, 국제타운102호 일부)",,37.42232679,126.6494208,옥련동
뚜레쥬르 연수우성2차점,"인천광역시 연수구 원인재로 180, 상가동 지하1층 9호 (연수동, 연수우성2차아파트)",,37.41301342,126.6855598,연수동
아라네,"인천광역시 연수구 청룡로42번길 40 (옥련동, 지상1층)",,37.42333868,126.6554093,옥련동
과자의숲,"인천광역시 연수구 송도과학로27번길 15, 104동 234호 (송도동, 송도아메리칸타운아이파크)",,37.38461103,126.6628864,송도동
바켄베이커리,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬 캠퍼스타운 302동 D-109호)",,37.38803691,126.6642625,송도동
좋은아침 페스츄리(pastry),"인천광역시 연수구 송도국제대로 123, 현대프리미엄 아울렛 송도점 지하1층 (송도동)",,37.38320628,126.6586339,송도동
미미米米,"인천광역시 연수구 신송로 168, 이든프라자 103호 (송도동)",,37.3986734,126.6486623,송도동
코코호도 동춘점,"인천광역시 연수구 앵고개로 260 (동춘동, 109호)",,37.40766546,126.6722913,동춘동
뚜레쥬르 송도글로벌파크점,"인천광역시 연수구 송도문화로28번길 27, 103호,104호, 203호일부호 (송도동, 송도글로벌파크베르디움)",,37.37499657,126.6558331,송도동
포무 베이커리(제빵소),"인천광역시 연수구 벚꽃로142번길 34, 1층 일부호 (연수동)",,37.41499047,126.679748,연수동
베이커리율교P3120,"인천광역시 연수구 컨벤시아대로42번길 20, 302동 지상1층 101,102호 (송도동, 송도 더 프라우 3단지)",,37.40002685,126.6502367,송도동
베이크 하우스 스몰(BAKE HOUSE SMOR),"인천광역시 연수구 아트센터대로 107, 커낼워크D3 AUTUMN 301동 117호 (송도동)",,37.40073438,126.6388961,송도동
와플대학 인천동춘캠퍼스,"인천광역시 연수구 앵고개로 262, 동경프라자 1층 104호 (동춘동)",,37.40749426,126.6725576,동춘동
ANAS BAKERY(아나스 베이커리),"인천광역시 연수구 함박로8번길 59, 1층 일부호 (연수동)",,37.42506672,126.6822217,연수동
파리바게뜨 송도마스터뷰점,"인천광역시 연수구 컨벤시아대로274번길 35 (송도동, 송도더샵마스터뷰 상가동지상 1층 4호)",,37.38274107,126.6308273,송도동
파리바게뜨 송도캠퍼스타운점,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬 캠퍼스타운 302동 D-115,116호)",,37.38803691,126.6642625,송도동
뚜레쥬르 연수우성2차점,"인천광역시 연수구 원인재로 180, 상가동 108호 (연수동, 연수우성2차아파트)",,37.41301342,126.6855598,연수동
빽다방 베이커리 인천동춘점,"인천광역시 연수구 앵고개로 256, 웅지프라자 107, 108호 (동춘동)",,37.40783029,126.6720178,동춘동
꽈페 송도국제도시(Quafe),"인천광역시 연수구 송도과학로28번길 8, 더샵 송도트리플타워 East 127호 (송도동)",,37.38246176,126.6606641,송도동
