일련번호,종류,의료기관명,도로명주소,전화번호,위도,경도,동구분
1,병원,송도연세병원,"인천광역시 연수구 신송로 157-9, 기은빌딩 3~8층 (송도동)",032-832-5488,126.6487032,37.39696112,송도동
2,한방병원,토탈케어한방병원,"인천광역시 연수구 청능대로 109, 탑피온빌딩 10층 1001호, 11층 1호 (연수동)",032-715-5667,126.6767189,37.41298643,연수동
3,한방병원,다나음한방병원,"인천광역시 연수구 먼우금로222번길 13, 지상1~5층 (연수동)",032-813-1070,126.6784258,37.41675425,연수동
4,한방병원,자양한방병원,"인천광역시 연수구 신송로 154, 더 제니스 4층 401호 (송도동)",032-255-1000,126.6497661,37.39777909,송도동
5,한방병원,송도한방병원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A동 6층 (송도동)",032-715-5151,126.6421469,37.38419018,송도동
6,병원,송도미소어린이병원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A동 7,8,9층 (송도동)",032-834-2553,126.6421469,37.38419018,송도동
7,치과병원,서울시카고치과병원,"인천광역시 연수구 컨벤시아대로 81, 701,704호 (송도동, 드림시티)",032-777-1122,126.6501653,37.39494268,송도동
8,요양병원(일반요양병원),로하스인천요양병원,"인천광역시 연수구 벚꽃로 114, 브랫슬 7~8층 (연수동)",032-421-1288,126.6780921,37.41709445,연수동
9,요양병원(일반요양병원),송도베스트요양병원,인천광역시 연수구 옥련로 29 (옥련동),032-859-8588,126.6426854,37.42749155,옥련동
10,치과병원,22세기서울치과병원,"인천광역시 연수구 컨벤시아대로 69, 415호 (송도동, 송도 밀레니엄)",032-858-2080,126.6509557,37.39571542,송도동
11,한방병원,행복한방병원,"인천광역시 연수구 독배로 49, 3,4층 (옥련동, 럭키빌딩)",032-833-0040,126.6443184,37.42508776,옥련동
12,병원,나래병원,"인천광역시 연수구 청능대로 69 (청학동, 연세다나병원)",032-821-0033,126.6741239,37.4160104,청학동
13,요양병원(일반요양병원),송도효자병원,"인천광역시 연수구 능허대로 235 (옥련동, 송도효자병원)",032-832-9900,126.6520143,37.41542663,옥련동
14,병원,경인권역재활병원,인천광역시 연수구 원인재로 263 (연수동),032-899-4591,126.6893673,37.41904081,연수동
15,종합병원,의료법인 나사렛의료재단 나사렛국제병원,"인천광역시 연수구 먼우금로 98 (동춘동, 나사렛국제병원)",032-899-9999,126.6704837,37.40794843,동춘동
16,병원,인천적십자병원,"인천광역시 연수구 원인재로 263 (연수동, 인천적십자병원)",032-899-4000,126.6893673,37.41904081,연수동
17,의원,비엔씨티(BNCT)의원,"인천광역시 연수구 송도미래로 9, 비알씨(주) 연구소 3동 지하1층 B-B101호 (송도동)",,126.6470528,37.37081435,송도동
18,의원,의료법인 이원의료재단 이원의원,인천광역시 연수구 하모니로 291 (송도동),032-210-2270,126.6354748,37.37265829,송도동
19,의원,플로라유외과의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 B동 5층 504,505호 (송도동)",032-212-3070,126.6421469,37.38419018,송도동
20,의원,노블성형외과의원,"인천광역시 연수구 해돋이로 160-4, 골든게이트 4층 401호 (송도동)",032-508-7007,126.6461744,37.39460296,송도동
21,의원,유쾌한비뇨의학과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 3층 304호 (송도동)",032-831-8575,126.64915,37.39716984,송도동
22,의원,송도그린소아청소년과의원,"인천광역시 연수구 아트센터대로 87, 커낼워크D4 WINTER 402동 2층 216호 (송도동)",032-212-2066,126.6404248,37.40215703,송도동
23,의원,라베성형외과의원,"인천광역시 연수구 신송로 161, 송도 하이츠 2층 201,202호 (송도동)",032-214-0156,126.6484391,37.39759467,송도동
24,의원,연세마이미의원,"인천광역시 연수구 신송로 166, 7층 (송도동, 플러스원프라자)",032-215-1100,126.6484564,37.39843847,송도동
25,의원,삼성드림이비인후과의원,"인천광역시 연수구 컨벤시아대로 165, 포스코타워-송도 6층 (송도동)",032-224-0365,126.6444436,37.38914175,송도동
26,의원,로이여성의원,"인천광역시 연수구 컨벤시아대로230번길 54, 닥터플러스몰 6층 A614,A615,A616호 (송도동)",032-229-1234,126.6343345,37.38874008,송도동
27,의원,송도본정형외과의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A동 2층 202,203,204,205,206,207호 (송도동)",032-214-8275,126.6421469,37.38419018,송도동
28,의원,미래제일산부인과의원,"인천광역시 연수구 먼우금로 189, 501호 (청학동, 소망빌딩)",032-245-0101,126.6758534,37.41462357,청학동
29,의원,송도퍼스트내과의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 B동 4층 401,402,403,404,405호 (송도동)",032-227-0770,126.6421469,37.38419018,송도동
30,의원,글로벌송도의원,"인천광역시 연수구 송도문화로28번길 28, 203동 210호 (송도동, 글로벌 캠퍼스푸르지오 상가)",032-295-1000,126.6558312,37.3770832,송도동
31,의원,김경태정형외과의원,"인천광역시 연수구 먼우금로 189, 201,202,203일부,204,206,208,210,212,215호 2층 (청학동)",032-229-0123,126.6758534,37.41462357,청학동
32,의원,한양마취통증의학과의원,"인천광역시 연수구 독배로40번길 47, 201호 (옥련동, 제일빌딩)",032-257-8275,126.6475313,37.42460261,옥련동
33,의원,세원정형외과의원,"인천광역시 연수구 인천타워대로54번길 9, 에몬스프라자 505,506호 (송도동)",032-421-6530,126.6459726,37.37898729,송도동
34,의원,송도스타피부과의원,"인천광역시 연수구 컨벤시아대로 69, 401호 (송도동, 밀레니엄빌딩)",032-434-2286,126.6509557,37.39571542,송도동
35,의원,드림의원,"인천광역시 연수구 청능대로 210 (동춘동,스퀘어원 3층)",032-456-4330,126.6836222,37.40599741,동춘동
36,의원,송도마취통증의학과의원,"인천광역시 연수구 하모니로36번길 1, 3층 (송도동)",032-465-7588,126.6512508,37.39158932,송도동
37,의원,비엘에스의원,"인천광역시 연수구 컨벤시아대로 81, 704 (일부)호 (송도동, 드림시티)",032-422-1755,126.6501653,37.39494268,송도동
38,의원,연수늘밝은안과의원,"인천광역시 연수구 청능대로 210, 스퀘어원 3층 3208호 (동춘동)",032-456-4370,126.6836222,37.40599741,동춘동
39,의원,송도연세피부과의원,"인천광역시 연수구 해돋이로151번길 4, 5층 502호 (송도동)",032-710-0030,126.6460059,37.39401677,송도동
40,의원,파크뷰의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 B동 6층 603,604호 (송도동)",032-710-1404,126.6421469,37.38419018,송도동
41,의원,서울꾸러기365의원,"인천광역시 연수구 청능대로 210, 3층 (동춘동, 스퀘어원)",032-456-4375,126.6836222,37.40599741,동춘동
42,의원,브이아이씨(V.I.C)365소아청소년과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 7층 701~710호 (송도동)",032-710-1147,126.656664,37.38094155,송도동
43,의원,송도브레인신경과의원,"인천광역시 연수구 해돋이로151번길 4, 인피니티타워 5층 501호 (송도동)",032-710-7065,126.6460059,37.39401677,송도동
44,의원,고릴라신경외과의원,"인천광역시 연수구 청능대로 93, 이리옴프라자 5층 501호 (청학동)",032-713-5050,126.6756664,37.41431941,청학동
45,의원,건강한내과의원,"인천광역시 연수구 앵고개로 266, 연수2차한양아파트 상가A동 지상1층 (동춘동)",032-715-4567,126.6728198,37.40697151,동춘동
46,의원,송도키즈소아청소년과의원,"인천광역시 연수구 송도문화로28번길 28, 204동 2층 4-201호 (송도동, 송도글로벌캠퍼스푸르지오)",032-713-8112,126.6558312,37.3770832,송도동
47,의원,클렌피부과의원,인천광역시 연수구 신송로 153 (송도동),032-715-4100,126.64915,37.39716984,송도동
48,의원,제이엠의원,"인천광역시 연수구 신송로 154, 더 제니스 2층 209호 (송도동)",032-710-7616,126.6497661,37.39777909,송도동
49,의원,리더스피부과의원,"인천광역시 연수구 센트럴로 194 (송도동, 더샵 센트럴파크2)",032-715-8190,126.6418738,37.39378585,송도동
50,의원,연수비뇨의학과의원,"인천광역시 연수구 앵고개로264번길 10-13, 대동빌딩 2층 (동춘동)",032-715-4545,126.6717609,37.40755899,동춘동
51,의원,닥터킴성형외과의원,"인천광역시 연수구 송도과학로16번길 33-2, 송도 트리플스트리트 B4동 401~402호 (송도동)",032-715-6352,126.6602318,37.38044505,송도동
52,의원,의료법인 정강의료재단 JK위드미의원,"인천광역시 연수구 컨벤시아대로 165, 6층 (송도동)",032-715-7991,126.6444436,37.38914175,송도동
53,의원,다시봄날의원,"인천광역시 연수구 컨벤시아대로130번길 14, 플러스메디타워 4층 401호,402호일부호 (송도동)",032-719-3303,126.6448883,37.392955,송도동
54,의원,송도베스트내과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 6층 A-601,602호 (송도동)",032-716-9797,126.656664,37.38094155,송도동
55,의원,송도연세의원,"인천광역시 연수구 신송로 157-9, 기은빌딩 8층 801호일부호 (송도동)",032-719-7997,126.6487032,37.39696112,송도동
56,의원,송도봄정신건강의학과의원,"인천광역시 연수구 해돋이로151번길 4, 인피니티타워 4층 404호 (송도동)",032-719-7975,126.6460059,37.39401677,송도동
57,의원,오네스타의원,"인천광역시 연수구 송도국제대로 157, 405호일부,406호,407호 (송도동)",032-724-8200,126.656664,37.38094155,송도동
58,의원,송도탑비뇨의학과의원,"인천광역시 연수구 하모니로178번길 22, 송도GTX센트럴 6층 601,602호 (송도동)",032-719-3235,126.6408363,37.383072,송도동
59,의원,송도마디재활의학과의원,"인천광역시 연수구 해돋이로151번길 4, 인피니티타워 4층 401,402호 (송도동)",032-721-8255,126.6460059,37.39401677,송도동
60,의원,홍성표내과의원,"인천광역시 연수구 청능대로 103, 4층 (연수동, BYC건물)",032-811-5810,126.6762619,37.41364664,연수동
61,의원,굿모닝이비인후과의원,"인천광역시 연수구 앵고개로264번길 10-1, 3층 (동춘동)",032-811-3600,126.6722791,37.40719577,동춘동
62,의원,닥터김내과의원,"인천광역시 연수구 용담로 11, 2층 (청학동, 시대아파트상가)",032-811-1001,126.6691275,37.42147906,청학동
63,의원,송도닥터스의원,"인천광역시 연수구 송도국제대로 165 (송도동, 홈플러스송도점 지하1층)",032-812-7338,126.656372,37.38022559,송도동
64,의원,마음과마음정신과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동, 비와이씨빌딩)",032-812-2004,126.6762619,37.41364664,연수동
65,의원,새봄가정의원,"인천광역시 연수구 새말로 32, 2층 (연수동)",032-812-7585,126.6747454,37.42223859,연수동
66,의원,연수의원,"인천광역시 연수구 원인재로 212 (연수동, 시영1차상가)",032-812-7575,126.6866977,37.41426782,연수동
67,의원,한미의원,"인천광역시 연수구 벚꽃로 114, 2층 250-1호 (연수동, 연수브랫슬)",032-812-3223,126.6780921,37.41709445,연수동
68,의원,올리브여성의원,"인천광역시 연수구 학나래로6번길 6, 서천빌딩 (선학동)",032-813-0075,126.6968296,37.42357329,선학동
69,의원,연수성심의원,"인천광역시 연수구 먼우금로 88, 301,302호 (동춘동, 상산빌딩)",032-812-8258,126.670366,37.40673078,동춘동
70,의원,최대경여성의원,인천광역시 연수구 앵고개로 250 (동춘동),032-813-1616,126.6715059,37.40818455,동춘동
71,의원,연수제일정형외과의원,"인천광역시 연수구 학나래로6번길 3, 5층 (선학동)",032-813-6300,126.6968445,37.42397088,선학동
72,의원,연세의원,"인천광역시 연수구 원인재로 315, 204호 (연수동, 주공상가)",032-813-1291,126.6916732,37.42240333,연수동
73,의원,연수제일내과의원,"인천광역시 연수구 학나래로6번길 3, 2층 (선학동)",032-813-8136,126.6968445,37.42397088,선학동
74,의원,장효죽성형외과의원,"인천광역시 연수구 앵고개로 262, 402호 (동춘동, 동경상가)",032-814-1004,126.6725576,37.40749426,동춘동
75,의원,송도탑정형외과의원,"인천광역시 연수구 송도국제대로 261, 231동 207,208호 (송도동, 송도 더샵 센트럴시티)",032-813-6767,126.6531653,37.37435195,송도동
76,의원,베스트마취통증의학과의원,"인천광역시 연수구 앵고개로264번길 30-4, 영남프라자 (동춘동)",032-813-7505,126.6718238,37.40682032,동춘동
77,의원,김웅철산부인과의원,인천광역시 연수구 용담로 135 (연수동),032-814-5252,126.6794039,37.41386319,연수동
78,의원,녹색중앙의원,"인천광역시 연수구 선학로68번길 4, 3층 (선학동, 중앙빌딩)",032-814-2280,126.7013186,37.42351176,선학동
79,의원,김운호피부과의원,인천광역시 연수구 앵고개로 250 (동춘동),032-813-9212,126.6715059,37.40818455,동춘동
80,의원,연수우리내과의원,"인천광역시 연수구 학나래로6번길 35, 4층 (선학동)",032-814-7746,126.6975621,37.42471847,선학동
81,의원,도담이비인후과의원,"인천광역시 연수구 원인재로 312, 3층 304호 (연수동, 대림상가)",032-814-7582,126.6962327,37.42194228,연수동
82,의원,해솔정신과의원,"인천광역시 연수구 인천타워대로 251, 아트윈몰 202호 (송도동)",032-814-8881,126.6328662,37.39313335,송도동
83,의원,이정호내과의원,"인천광역시 연수구 비류대로 429, 3층 (연수동, 영일빌딩)",032-815-0975,126.6825029,37.42440707,연수동
84,의원,주일중소아청소년과의원,"인천광역시 연수구 먼우금로 302, 201호 (연수동, 연수동유천상가)",032-815-0209,126.6840293,37.42253289,연수동
85,의원,우리외과의원,"인천광역시 연수구 먼우금로 194, 3층 304호 (연수동, 두손메카)",032-814-9393,126.6769905,37.41433314,연수동
86,의원,유기수내과의원,"인천광역시 연수구 원인재로 88, 307호 (동춘동, 대우삼환상가)",032-815-7991,126.6800838,37.40699507,동춘동
87,의원,연수이안과의원,인천광역시 연수구 앵고개로 250 (동춘동),032-814-9480,126.6715059,37.40818455,동춘동
88,의원,송도메이정신건강의학과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 6층 A-606호 (송도동)",032-815-7557,126.656664,37.38094155,송도동
89,의원,이든의원,"인천광역시 연수구 선학로 101, 2층 (선학동, 뉴서울아파트상가)",032-815-0590,126.7006293,37.42505293,선학동
90,의원,큰바위정형외과의원,"인천광역시 연수구 먼우금로188번길 12, 이리옴3빌딩 3층 301호 (연수동)",032-815-8875,126.6765063,37.41341039,연수동
91,의원,수이비인후과의원,"인천광역시 연수구 앵고개로 250, 3층 (동춘동, 연수메디칼)",032-815-8384,126.6715059,37.40818455,동춘동
92,의원,현대성모의원,인천광역시 연수구 함박뫼로 28 (청학동),032-816-1367,126.6720663,37.41989437,청학동
93,의원,선이비인후과의원,인천광역시 연수구 샘말로7번길 7 (연수동),032-817-1500,126.6773763,37.41217888,연수동
94,의원,기분좋은신경과의원,"인천광역시 연수구 청능대로 93, 403호 (청학동, 이리옴프라자)",032-816-7575,126.6756664,37.41431941,청학동
95,의원,메디모아의원,"인천광역시 연수구 경원대로 184, 2층 (동춘동, 이마트연수점)",032-816-1575,126.6811196,37.40421886,동춘동
96,의원,한빛이비인후과의원,"인천광역시 연수구 용담로 115, 3층 (연수동)",032-817-2888,126.6778155,37.41511405,연수동
97,의원,서비뇨기과의원,"인천광역시 연수구 청능대로 103, 5층 (연수동, 비와이씨빌딩)",032-816-3069,126.6762619,37.41364664,연수동
98,의원,바른이비인후과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 A-118 (송도동)",032-817-2333,126.656664,37.38094155,송도동
99,의원,현대의원,"인천광역시 연수구 원인재로 14, 2층 (동춘동, 무지개마을상가)",032-816-7981,126.6700279,37.40128601,동춘동
100,의원,연수김안과의원,"인천광역시 연수구 컨벤시아대로 165, 포스코타워-송도 3,5,6,7층 (송도동)",032-817-3487,126.6444436,37.38914175,송도동
101,의원,성심내과의원,인천광역시 연수구 원인재로 313 (연수동),032-817-3137,126.6932889,37.42155988,연수동
102,의원,닥터포유미앤모의원,"인천광역시 연수구 청능대로 93, 402호 (청학동, 이리옴프라자)",032-817-8057,126.6756664,37.41431941,청학동
103,의원,연수베스트내과의원,"인천광역시 연수구 먼우금로 189, 2층 (청학동, 소망글로벌)",032-817-5550,126.6758534,37.41462357,청학동
104,의원,박호연의원,"인천광역시 연수구 원인재로 180, 309-313호 (연수동, 우성2차상가)",032-817-7180,126.6855598,37.41301342,연수동
105,의원,송도유외과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 6층 (송도동)",032-817-6875,126.656664,37.38094155,송도동
106,의원,이이주내과의원,"인천광역시 연수구 앵고개로 242, 2층 (동춘동, 연수제일상가)",032-817-7114,126.6708262,37.4086566,동춘동
107,의원,우리들소아청소년과의원,인천광역시 연수구 앵고개로 254 (동춘동),032-817-8666,126.6717723,37.40800884,동춘동
108,의원,김지현피부과의원,"인천광역시 연수구 청능대로 103, 4층 (연수동, 비와이씨빌딩)",032-817-8083,126.6762619,37.41364664,연수동
109,의원,박소아청소년과의원,"인천광역시 연수구 용담로 11, 2층 (청학동)",032-817-7932,126.6691275,37.42147906,청학동
110,의원,한솔내과의원,인천광역시 연수구 용담로 131 (연수동),032-818-1888,126.6791444,37.41402814,연수동
111,의원,모아소아청소년과.가정의학과의원,"인천광역시 연수구 앵고개로264번길 30-4, 201호 (동춘동, 영남프라자)",032-818-1365,126.6718238,37.40682032,동춘동
112,의원,이강연유외과의원,인천광역시 연수구 앵고개로246번길 10 (동춘동),032-818-6825,126.6706046,37.40841618,동춘동
113,의원,변피부과의원,"인천광역시 연수구 원인재로 286, 301호 (연수동, 대림아파트상가)",032-818-4333,126.6926717,37.4190454,연수동
114,의원,서울가정의학과의원,"인천광역시 연수구 새말로 31, 2층 (연수동)",032-818-2119,126.6749968,37.42246118,연수동
115,의원,손호균마취통증의학과의원,"인천광역시 연수구 앵고개로 242, 401호 (동춘동, 연수제일종합상가)",032-818-4939,126.6708262,37.4086566,동춘동
116,의원,우리산부인과의원,인천광역시 연수구 앵고개로 254 (동춘동),032-818-5121,126.6717723,37.40800884,동춘동
117,의원,이솜이비인후과의원,"인천광역시 연수구 송도국제대로 261, 2층 210~211호 (송도동, 송도 더샵 센트럴시티)",032-818-8222,126.6531653,37.37435195,송도동
118,의원,연수이이주내과의원,"인천광역시 연수구 먼우금로188번길 12, 이리옴3빌딩 3층 303호 (연수동)",032-818-8114,126.6765063,37.41341039,연수동
119,의원,피어봄의원,"인천광역시 연수구 센트럴로 160, 2층 (송도동, 송도센트럴파크푸르지오)",032-818-8275,126.644994,37.39200033,송도동
120,의원,신이비인후과의원,"인천광역시 연수구 용담로 11, 2층 (청학동)",032-818-8288,126.6691275,37.42147906,청학동
121,의원,이상영가정의학과의원,"인천광역시 연수구 비류대로 437, 2층 (연수동, 청보빌딩)",032-819-3636,126.6832138,37.42436151,연수동
122,의원,조은산부인과의원,"인천광역시 연수구 학나래로5번길 51, 조은산부인과 (선학동)",032-818-5575,126.6937152,37.4234331,선학동
123,의원,이성문소아청소년과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동)",032-818-9391,126.6762619,37.41364664,연수동
124,의원,메이퓨어의원,"인천광역시 연수구 송도과학로16번길 33-3, 송도 트리플스트리트 C동 2층 일부호 (송도동)",032-818-9979,126.6612504,37.37981773,송도동
125,의원,박무헌정신과의원,"인천광역시 연수구 앵고개로 250, 3층 (동춘동, 연수메디칼빌딩)",032-819-2178,126.6715059,37.40818455,동춘동
126,의원,이상대내과의원,"인천광역시 연수구 앵고개로 250, 연수메디칼빌딩 404,405호 (동춘동)",032-819-2342,126.6715059,37.40818455,동춘동
127,의원,연세비뇨기과의원,"인천광역시 연수구 앵고개로 242, 407,408호 (동춘동, 연수제일상가)",032-819-5522,126.6708262,37.4086566,동춘동
128,의원,성수이비인후과의원,"인천광역시 연수구 청능대로 103, 5층 (연수동, 비와이씨빌딩)",032-819-5075,126.6762619,37.41364664,연수동
129,의원,연세e소아청소년과의원,"인천광역시 연수구 앵고개로264번길 46, 2층 (동춘동)",032-819-5700,126.6708242,37.40668532,동춘동
130,의원,웅내과의원,"인천광역시 연수구 학나래로118번길 9, 205호 (선학동, 선학프라자)",032-819-7575,126.6984687,37.42799023,선학동
131,의원,연수메디칼정형외과의원,"인천광역시 연수구 앵고개로 250, 연수메디칼빌딩 2,5층 201,501호 (동춘동)",032-819-2345,126.6715059,37.40818455,동춘동
132,의원,미라클마취통증의학과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 5층 A505-1,A506호 (송도동)",032-821-2227,126.656664,37.38094155,송도동
133,의원,성모신경외과의원,"인천광역시 연수구 용담로 115, 파크타워 4층 402,403호 (연수동)",032-819-8274,126.6778155,37.41511405,연수동
134,의원,올바른신경외과의원,"인천광역시 연수구 앵고개로 256, 3층 301호 (동춘동, 웅지프라자)",032-819-7775,126.6720178,37.40783029,동춘동
135,의원,연수함문외과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동, 비와이씨)",032-821-0565,126.6762619,37.41364664,연수동
136,의원,차지현정신건강의학과의원,"인천광역시 연수구 청능대로 109, 5층 (연수동, 탑피온빌딩)",032-821-2001,126.6767189,37.41298643,연수동
137,의원,서울정형외과의원,인천광역시 연수구 비류대로433번길 3 (연수동),032-821-7600,126.6826379,37.42458197,연수동
138,의원,오렌지소아청소년과의원,"인천광역시 연수구 송도문화로84번길 24 (송도동, 송도에듀포레푸르지오)",032-821-9191,126.6582747,37.37219271,송도동
139,의원,앤의원,"인천광역시 연수구 앵고개로264번길 30-4, 3층 (동춘동, 영남프라자)",032-821-9697,126.6718238,37.40682032,동춘동
140,의원,와이삼성이비인후과의원,"인천광역시 연수구 송도과학로27번길 55, A(301)동 307, 308호 (송도동, 롯데캐슬캠퍼스타운)",032-822-5233,126.6642625,37.38803691,송도동
141,의원,연수스타정형외과의원,"인천광역시 연수구 먼우금로 208, 3층 (연수동)",032-821-2100,126.6773902,37.41582226,연수동
142,의원,부부내과의원,인천광역시 연수구 독배로40번길 29 (옥련동),032-831-1888,126.6465752,37.42450107,옥련동
143,의원,해사랑마취통증의학과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동, BYC빌딩)",032-822-7580,126.6762619,37.41364664,연수동
144,의원,의료법인 루가의료재단 지안의원,"인천광역시 연수구 센트럴로 263, 송도국제업무단지 C8-2블럭 업무복합시설 6,7층 (송도동)",032-830-2700,126.6335872,37.39866124,송도동
145,의원,서울항외과의원,"인천광역시 연수구 해돋이로 160-6, 꿈에 계단 7층 701호 (송도동)",032-831-0159,126.6463968,37.39487047,송도동
146,의원,송도랜시티의원,"인천광역시 연수구 랜드마크로 68, 301동 2층 237호 (송도동, 랜드마크시티센트럴더샵)",032-831-1238,126.6212329,37.41563898,송도동
